Naam aanvrager;Vestigingsplaats;Toegekend bedrag
!PET BOEKHANDEL B.V.;HOOGEVEEN;12.540
!PET VISUELE COMMUNICATIE B.V.;HOOGEVEEN;19.308
"""AAN DE MAAS"" EXPLOITATIE B.V.";SCHIEDAM;14.580
"""ART OF PRIVATE SHAKING""            GLASS & BAR SUPPLY B.V.";AMSTERDAM;25.527
"""BETONVERENIGING""";GOUDA;28.380
"""BIJ TANTE"" V.O.F.";ELST GLD;1.500
"""BUITENLUST"" VOORTHUIZEN B.V.";VOORTHUIZEN;16.635
"""CAVE ROKIN"" WINE & LIQUOR SHOP     V.O.F.";AMSTERDAM;3.036
"""CHEKIANG GARDEN""";ROTTERDAM;5.607
"""CORBO"" ORGANISATIE, ADVIES &       EXPERTISE BV";SLIEDRECHT;29.499
"""CRYON"" SPECIALISTEN IN HUIDVERZORGING V.O.F.";BREDA;28.344
"""D & D COMPANY C.V.""";OOSTERHOUT NB;13.656
"""D.V.V. '09"" (DIRKLANDSE            VOETBALVERENIGING 2009)";DIRKSLAND;312
"""DE LEEUW"" GROOTKEUKENTECHNIEK B.V.";DIESSEN;20.661
"""DE NAALDHOF"" B.V.";OSS;25.293
"""DE ZEEMEEUW"" V.O.F.";NOORDWIJK ZH;147.996
"""DOUWES MACHINES B.V.""";HARKEMA;3.738
"""HUIZE MAAS"" B.V.";GRONINGEN;69.630
"""LEGMEERVOGELS"" VERENIGING";UITHOORN;2.289
"""LMC"" SERVICES B.V.";BADHOEVEDORP;19.917
"""MARMAN"" COIFFURES V.O.F.";HALFWEG;4.656
"""MULDERS-JANSSEN"" V.O.F.";OOST WEST EN MIDDELBEERS;8.370
"""OP ZUID"" EXPLOITATIE B.V.";ROTTERDAM;13.875
"""OPERATIONAL CARE""";NIJMEGEN;9.195
"""ORANGE AFRICA TRAVEL"" B.V.";ZEVENHUIZEN ZH;909
"""PIETER KOLK V.O.F.""";AALSMEER;5.100
"""RESTAURANT-CAFE DE WAAG"" B.V.";AMSTERDAM;168.093
"""SCHOEN-VENDITA HERMAN B.V.";'S-GRAVENHAGE;16.776
"""STAR"" BAKKERIJ-CAFé AFHAALCENTRUM  V.O.F.";ENSCHEDE;456
"""STICHTING BUITENVERBLIJF ZONNEWENDE";SINT-MICHIELSGESTEL;51.090
"""STICHTING DROOGDOK JAN BLANKEN     HELLEVOETSLUIS""";HELLEVOETSLUIS;9.330
"""STICHTING MULTIFUNKTIONEEL CENTRUM OUDEGA (WYMBRITSERADEEL)";OUDEGA SUDWEST-FRYSLAN;5.310
"""T BONTE SCHAEP"" C.V.";BERGAMBACHT;2.931
"""T KELDERKE V.O.F.";HELMOND;1.506
"""THE LANGUAGE LAB TALENSERVICE B.V.""";AMSTERDAM;21.015
"""V.O.F. HET SPIJSLOKAAL""";WARFFUM;11.712
"""VENNOOTSCHAP ONDER FIRMA OME KO""";WIJK BIJ DUURSTEDE;1.497
"""V-MAX RACING MANAGEMENT B.V.""";BREDA;16.773
"""WAH NAM HONG BEHEER"" B.V.";AMSTERDAM;7.245
&BEYOND B.V.;ROTTERDAM;40.875
&RANJ B.V.;ROTTERDAM;78.054
&SAMHOUD FOOD B.V.;UTRECHT;22.734
&WORK B.V.;AMSTERDAM;253.041
(AD) VENTURE BOYZ B.V.;NAARDEN;2.058
(BBP) BEERENS-BUSINESS PRESS B.V.;WOERDEN;74.448
(IPS) INDUSTRIAL PACKAGING SERVICES C.V.;SPRUNDEL;15.426
(NAAST) DE MARKT B.V.;UTRECHT;88.473
(Y) UKKIES BABY-EN                  KINDERKLEDING B.V.;LAREN NH;3.660
. AMRIZAL;'S-GRAVENHAGE;2.415
. ASMA HAFEEZ;AMSTELVEEN;3.147
...,STAAT CREATIVE AGENCY B.V.;AMSTERDAM;127.611
@ THE ACADEMY B.V.;EINDHOVEN;12.822
@ YOUR SERVICE B.V.;DE KWAKEL;7.851
